location,year_week,new_cases,new_deaths,total_cases,total_deaths,people_vaccinated,people_fully_vaccinated,total_vaccinations
Australia,2021-06-14/2021-06-20,87.0,0.0,30600.0,928.0,5509653.0,1081088.0,6590741.0
Australia,2021-06-21/2021-06-27,235.0,0.0,30835.0,928.0,5897308.0,1477358.0,7374666.0
Australia,2021-06-28/2021-07-04,276.0,0.0,31111.0,928.0,6348365.0,1877621.0,8225986.0
Australia,2021-07-05/2021-07-11,549.0,2.0,31660.0,930.0,6798066.0,2325721.0,9123787.0
Australia,2021-07-12/2021-07-18,875.0,5.0,32535.0,935.0,7274900.0,2828259.0,10103159.0
Australia,2021-07-19/2021-07-25,1260.0,5.0,33795.0,940.0,7840804.0,3359005.0,11199809.0
Australia,2021-07-26/2021-08-01,1667.0,7.0,35462.0,947.0,8445404.0,3964723.0,12410127.0
Australia,2021-08-02/2021-08-08,2313.0,16.0,37775.0,963.0,9108510.0,4651958.0,13760468.0
Australia,2021-08-09/2021-08-15,3613.0,27.0,41388.0,990.0,9905472.0,5409686.0,15315158.0
Australia,2021-08-16/2021-08-22,6133.0,22.0,47521.0,1012.0,10882390.0,6240640.0,17123030.0
Australia,2021-08-23/2021-08-29,8140.0,20.0,55661.0,1032.0,11956986.0,7095576.0,19052562.0
Australia,2021-08-30/2021-09-05,11094.0,52.0,66755.0,1084.0,13023788.0,7924726.0,20948514.0
Australia,2021-09-06/2021-09-12,12596.0,56.0,79351.0,1140.0,13986743.0,8773858.0,22760601.0
Australia,2021-09-13/2021-09-19,12301.0,77.0,91652.0,1217.0,15044653.0,9700572.0,24745225.0
Australia,2021-09-20/2021-09-26,12498.0,95.0,104150.0,1312.0,16050194.0,10703942.0,26754136.0
Australia,2021-09-27/2021-10-03,15401.0,110.0,119551.0,1422.0,16943837.0,11766864.0,28710701.0
Australia,2021-10-04/2021-10-10,15281.0,119.0,134832.0,1541.0,17644750.0,12998286.0,30643517.0
Australia,2021-10-11/2021-10-17,15347.0,105.0,150179.0,1646.0,18214049.0,14360419.0,32577130.0
Australia,2021-10-18/2021-10-24,13759.0,108.0,163938.0,1754.0,18692857.0,15569263.0,34268948.0
Australia,2021-10-25/2021-10-31,10046.0,112.0,173984.0,1866.0,19052562.0,16529442.0,35603091.0
Australia,2021-11-01/2021-11-07,9666.0,97.0,183650.0,1963.0,19303290.0,17283428.0,36763501.0
Australia,2021-11-08/2021-11-14,8701.0,66.0,192351.0,2029.0,19563025.0,17872077.0,37695740.0
Australia,2021-11-15/2021-11-21,9330.0,81.0,201681.0,2110.0,19787505.0,18323181.0,38444149.0
Australia,2021-11-22/2021-11-28,9744.0,56.0,211425.0,2166.0,19975729.0,18704697.0,39095588.0
Australia,2021-11-29/2021-12-05,10526.0,52.0,221951.0,2218.0,20106757.0,19008755.0,39652404.0
Australia,2021-12-06/2021-12-12,13403.0,36.0,235354.0,2254.0,20208813.0,19271471.0,40177641.0
Australia,2021-12-13/2021-12-19,31489.0,54.0,266843.0,2308.0,20328607.0,19553057.0,41251388.0
Australia,2021-12-20/2021-12-26,99764.0,69.0,366607.0,2377.0,20410720.0,19699622.0,42203960.0
Australia,2021-12-27/2022-01-02,289614.0,103.0,656221.0,2480.0,20460234.0,19778026.0,42768270.0
Australia,2022-01-03/2022-01-09,588813.0,219.0,1245034.0,2699.0,20529932.0,19904821.0,44086608.0
Australia,2022-01-10/2022-01-16,462325.0,440.0,1707359.0,3139.0,20938457.0,20020735.0,46034466.0
Australia,2022-01-17/2022-01-23,347960.0,660.0,2055319.0,3799.0,21352957.0,20110855.0,48010195.0
Australia,2022-01-24/2022-01-30,267817.0,670.0,2323136.0,4469.0,21647934.0,20194741.0,49607239.0
Australia,2022-01-31/2022-02-06,201112.0,581.0,2524248.0,5050.0,21813079.0,20287496.0,51098236.0
Australia,2022-02-07/2022-02-13,171754.0,436.0,2696002.0,5486.0,21911397.0,20363428.0,52308370.0
Australia,2022-02-14/2022-02-20,160429.0,324.0,2856431.0,5810.0,21980295.0,20423361.0,53224792.0
Australia,2022-02-21/2022-02-27,160402.0,242.0,3016833.0,6052.0,22047151.0,20475638.0,53963467.0
Australia,2022-02-28/2022-03-06,195717.0,151.0,3212550.0,6203.0,22093332.0,20524493.0,54492395.0
Australia,2022-03-07/2022-03-13,241848.0,140.0,3454398.0,6343.0,22130630.0,20714246.0,55054842.0
Australia,2022-03-14/2022-03-20,327240.0,139.0,3781638.0,6482.0,22163996.0,20952845.0,55613993.0
Australia,2022-03-21/2022-03-27,385762.0,149.0,4167400.0,6631.0,22193476.0,21153372.0,56107787.0
Australia,2022-03-28/2022-04-03,395982.0,200.0,4563382.0,6831.0,22218298.0,21291087.0,56481559.0
Australia,2022-04-04/2022-04-10,359765.0,198.0,4923147.0,7029.0,22231734.0,21378262.0,56902635.0
Australia,2022-04-11/2022-04-17,306184.0,250.0,5229331.0,7279.0,,21439688.0,57155581.0
Australia,2022-04-18/2022-04-24,289282.0,315.0,5518613.0,7594.0,,21493460.0,57457036.0
Australia,2022-04-25/2022-05-01,272054.0,295.0,5790667.0,7889.0,,21528799.0,57735950.0
Australia,2022-05-02/2022-05-08,304061.0,315.0,6094728.0,8204.0,,21554537.0,58050262.0
Australia,2022-05-09/2022-05-15,350375.0,339.0,6445103.0,8543.0,,21575026.0,58400788.0
Australia,2022-05-16/2022-05-22,311716.0,317.0,6756819.0,8860.0,,21593262.0,58756853.0
Australia,2022-05-23/2022-05-29,240429.0,344.0,6997248.0,9204.0,,21609760.0,59089678.0
Australia,2022-05-30/2022-06-05,199964.0,375.0,7197212.0,9579.0,,21624590.0,59399900.0
Australia,2022-06-06/2022-06-12,184472.0,331.0,7381684.0,9910.0,,21635697.0,59663231.0
Australia,2022-06-13/2022-06-19,191043.0,344.0,7572727.0,10254.0,,21647523.0,59899939.0
Australia,2022-06-20/2022-06-26,204308.0,324.0,7777035.0,10578.0,,,60131190.0
Australia,2022-06-27/2022-07-03,0.0,344.0,7777035.0,10922.0,,,60319007.0
Australia,2022-07-04/2022-07-10,243697.0,400.0,8020732.0,11322.0,,,60566832.0
Australia,2022-07-11/2022-07-17,271605.0,451.0,8292337.0,11773.0,,,61205725.0
Australia,2022-07-18/2022-07-24,303029.0,607.0,8595366.0,12380.0,,,61796565.0
Australia,2022-07-25/2022-07-31,319779.0,618.0,8915145.0,12998.0,,,62255266.0
Australia,2022-08-01/2022-08-07,259334.0,603.0,9174479.0,13601.0,,,62481417.0
