Country,Date,Risk_Score,Infection_Rate,Vaccination_Rate,Testing_Rate,Positivity_Rate
Australia,2021-01-18/2021-01-24,-0.1812319885045648,0.0001913682367,0.0,0,0.0002571428571428
Australia,2021-01-25/2021-01-31,-0.1813689294859371,0.0001484753560604,0.0,0,0.0002
Australia,2021-02-01/2021-02-07,-0.1814654487487974,0.000128678641919,0.0,0,0.0001571428571428
Australia,2021-02-08/2021-02-14,-0.1815660957542437,0.000158373713131,0.0,0,0.0001
Australia,2021-02-15/2021-02-21,-0.1805029174678735,9.238466599313846e-05,-0.0073078187329278,0,0.0001
Australia,2021-02-22/2021-02-28,-0.180683493882888,0.0001451759037035,-0.0057355142720429,0,0.0001142857142857
Australia,2021-03-01/2021-03-07,-0.1808249180266193,0.0002210633079121,-0.0033847832226125,0,0.0002
Australia,2021-03-08/2021-03-14,-0.1811357955956595,0.0002639561885518,0.0001781464854006,0,0.0003
Australia,2021-03-15/2021-03-21,-0.1818023299692223,0.0002606567361949,0.0046107108012956,0,0.0003
Australia,2021-03-22/2021-03-28,-0.1835976892004765,0.0002111649508414,0.0156448361181284,0,0.0002428571428571
Australia,2021-03-29/2021-04-04,-0.1852851741946964,0.000290351807407,0.0273511831698999,0,0.0002571428571428
Australia,2021-04-05/2021-04-11,-0.1872705649569257,0.0001880687843431,0.0394762145675335,0,0.0002
Australia,2021-04-12/2021-04-18,-0.1893255631521216,0.0003761375686863,0.0563054802061204,0,0.0003857142857142
Australia,2021-04-19/2021-04-25,-0.190945554775588,0.0004850194964639,0.0701632367463812,0,0.0005857142857142
Australia,2021-04-26/2021-05-02,-0.193022731793764,0.0005279123771036,0.0835765870977585,0,0.0005428571428571
Australia,2021-05-03/2021-05-09,-0.1960433900662046,0.000320046878619,0.1003265512945209,0,0.0003428571428571
Australia,2021-05-10/2021-05-16,-0.1991045352555859,0.0001715715225586,0.1185068499210738,0,0.0002142857142857
Australia,2021-05-17/2021-05-23,-0.2020905735018418,0.0001187802848483,0.1366978735563777,0,0.0001
Australia,2021-05-24/2021-05-30,-0.2057515139794252,0.0002870523550501,0.1628199957181311,0,0.0001857142857142
Australia,2021-05-31/2021-06-06,-0.2103282126052164,0.0011779044914125,0.1955308634042639,0,0.0001285714285714
Australia,2021-06-07/2021-06-13,-0.214341111838263,0.0001913682367,0.2199575252843046,0,0.0002
Australia,2021-06-14/2021-06-20,-0.217761219536721,0.0002870523550501,0.2430771903351919,0,0.0002
Australia,2021-06-21/2021-06-27,-0.2200729836061326,0.0007753713038709,0.2606941533326007,0,0.0002428571428571
Australia,2021-06-28/2021-07-04,-0.2229645898715661,0.0009106488505037,0.2811924171979505,0,0.0003
Australia,2021-07-05/2021-07-11,-0.2254064688897684,0.0018113993439368,0.3016290577079341,0,0.0003857142857142
Australia,2021-07-12/2021-07-18,-0.2271951565874267,0.0028870208122855,0.3232987561096222,0,0.0008428571428571
Australia,2021-07-19/2021-07-25,-0.230331013148859,0.0041573099696912,0.3490162364157851,0,0.0008857142857142
Australia,2021-07-26/2021-08-01,-0.2333189991572775,0.0055001870789486,0.3764922545975016,0,0.0011142857142857
Australia,2021-08-02/2021-08-08,-0.2361960264251905,0.0076316333015046,0.4066270751605273,0,0.0014
Australia,2021-08-09/2021-08-15,-0.2386467319859921,0.0119209213654717,0.4428449752633013,0,0.0018142857142857
Australia,2021-08-16/2021-08-22,-0.2389832981633402,0.0202355413048542,0.4872409672084652,0,0.0028857142857142
Australia,2021-08-23/2021-08-29,-0.2410630087604636,0.0268575421851481,0.5360759312078034,0,0.0038428571428571
Australia,2021-08-30/2021-09-05,-0.2386976827170336,0.0366041244474242,0.5845566972486429,0,0.0062
Australia,2021-09-06/2021-09-12,-0.239001564388889,0.0415599018874847,0.6283181413243538,0,0.0080714285714285
Australia,2021-09-13/2021-09-19,-0.2465553658639173,0.0405865634421998,0.6763948108490307,0,0.0081428571428571
Australia,2021-09-20/2021-09-26,-0.2536046096638765,0.0412365555565087,0.7220915736648783,0,0.0078857142857142
Australia,2021-09-27/2021-10-03,-0.2514712265024464,0.050814865748583,0.7627031372043485,0,0.0095857142857142
Australia,2021-10-04/2021-10-10,-0.2526935647410453,0.0504189314657553,0.7945560950803019,0,0.0114428571428571
Australia,2021-10-11/2021-10-17,-0.2553682495611695,0.0506366953213105,0.820427860999642,0,0.0119857142857142
Australia,2021-10-18/2021-10-24,-0.2596927494389764,0.0453971649785568,0.8421872677372393,0,0.0127571428571428
Australia,2021-10-25/2021-10-31,-0.2707822054943972,0.0331462983773953,0.858534044316886,0,0.0115142857142857
Australia,2021-11-01/2021-11-07,-0.2780845150088235,0.0318925064817741,0.8699283663259256,0,0.0090571428571428
Australia,2021-11-08/2021-11-14,-0.2818512783689187,0.0287085349573677,0.8817320110206464,0,0.0088571428571428
Australia,2021-11-15/2021-11-21,-0.283787504800854,0.0307838904898564,0.891933493920798,0,0.0081428571428571
Australia,2021-11-22/2021-11-28,-0.2827129219239586,0.0321498637656121,0.9004873246290934,0,0.0089714285714285
Australia,2021-11-29/2021-12-05,-0.2821139047877513,0.0347300355087062,0.9064418858436384,0,0.0090714285714285
Australia,2021-12-06/2021-12-12,-0.2782654475275202,0.0442225599395012,0.9110798158991352,0,0.0089714285714285
Australia,2021-12-13/2021-12-19,-0.2428062840934157,0.1038964552663549,0.9165238485191493,0,0.0121571428571428
Australia,2021-12-20/2021-12-26,-0.1142730003654902,0.3291665649335523,0.92025546989023,0,0.0203
Australia,2021-12-27/2022-01-02,0.2867123252306444,0.9555675948906002,0.9225056312601432,0,0.0639
Australia,2022-01-03/2022-01-09,1.1161537382982345,1.9427604406220655,0.925673053547985,0,0.2303
Australia,2022-01-10/2022-01-16,1.2730970758880735,1.5254193109027765,0.9442384527006245,0,0.4125714285714285
Australia,2022-01-17/2022-01-23,1.0444691066299432,1.1480774421061593,0.963075385443465,0,0.3942
Australia,2022-01-24/2022-01-30,0.8630359254995453,0.8836494318672987,0.9764806011483744,0,0.3708428571428571
Australia,2022-01-31/2022-02-06,0.5936906035240934,0.6635594624004308,0.9839856078017312,0,0.2925833333333333
Australia,2022-02-07/2022-02-13,0.4905122272783263,0.5666941401066251,0.9884536646254,0,0.2658285714285714
Australia,2022-02-14/2022-02-20,0.4287563695277361,0.5293278421647576,0.991584730951374,0,0.24475
