location,year_week,new_cases,positivity_rate,people_vaccinated,cases_norm,positivity_z,vacc_norm,risk_score,risk_level
Australia,2020-06-01/2020-06-07,70.0,0.0004285714285714,,0.00023096166498284617,-0.5170891114278777,,-0.18086570816726577,Low
Australia,2020-06-08/2020-06-14,47.0,0.0003142857142857,,0.00015507426077419672,-0.5177490802338922,,-0.18113464095147516,Low
Australia,2020-06-15/2020-06-21,134.0,0.0005285714285714,,0.0004421266158243055,-0.516511638722615,,-0.18055801024500306,Low
Australia,2020-06-22/2020-06-28,205.0,0.0006285714285714,,0.0006763877331640495,-0.5159341660173522,,-0.18023876423949126,Low
Australia,2020-06-29/2020-07-05,721.0,0.0017,,0.0023789051493233156,-0.5097469584609653,,-0.17722198288667618,Low
Australia,2020-07-06/2020-07-12,1191.0,0.0033857142857142,,0.0039296477570652825,-0.5000124185722506,,-0.17303952262175507,Low
Australia,2020-07-13/2020-07-19,1888.0,0.0047857142857142,,0.006229366049823051,-0.49192780069857195,,-0.16906004721958864,Low
Australia,2020-07-20/2020-07-26,2509.0,0.0056857142857142,,0.008278325963456587,-0.4867305463512071,,-0.1662165282411942,Low
Australia,2020-07-27/2020-08-02,3332.0,0.0071285714285714,,0.010993775253183477,-0.47839844017527255,,-0.16194256643475366,Low
Australia,2020-08-03/2020-08-09,3416.0,0.0073714285714285,,0.011270929251162893,-0.4769960064624918,,-0.16131313763629065,Low
Australia,2020-08-10/2020-08-16,2337.0,0.0051857142857142,,0.007710820158070164,-0.4896179098775209,,-0.16751085837809723,Low
Australia,2020-08-17/2020-08-23,1567.0,0.0042,,0.005170241843258856,-0.49531014082939623,,-0.17077342836865925,Low
Australia,2020-08-24/2020-08-30,945.0,0.0022857142857142,,0.003117982477268423,-0.506364618330141,,-0.17566862517691514,Low
Australia,2020-08-31/2020-09-06,660.0,0.0014714285714285,,0.0021776385555525497,-0.5110668960729948,,-0.1777845943477719,Low
Australia,2020-09-07/2020-09-13,400.0,0.0010571428571428,,0.001319780942759121,-0.5134592829947977,,-0.17905085857679962,Low
Australia,2020-09-14/2020-09-20,278.0,0.0009,,0.000917247755217589,-0.5143667401030674,,-0.17956973515846478,Low
Australia,2020-09-21/2020-09-27,131.0,0.0005857142857142,,0.0004322282587536121,-0.5161816543196079,,-0.18044746488248598,Low
Australia,2020-09-28/2020-10-04,105.0,0.0004571428571428,,0.00034644249747426927,-0.5169241192263743,,-0.18075022048049383,Low
Australia,2020-10-05/2020-10-11,123.0,0.0005285714285714,,0.00040583263989842967,-0.516511638722615,,-0.18057615723296602,Low
