location,year_week,daily_vaccinations,daily_vaccinations_raw,daily_people_vaccinated,daily_people_vaccinated_per_hundred,daily_vaccinations_per_million,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred
India,2021-12-13/2021-12-19,50074057.0,45029636.0,13764353.0,0.1387142857142857,5047.571428571428,1376428862.0,828319595.0,548109267.0,,97.12,58.45,38.68,
India,2021-12-20/2021-12-26,40814216.0,38302741.0,9773623.0,0.09857142857142856,4114.285714285715,1414731603.0,837294288.0,577437315.0,,99.83,59.08,40.75,
India,2021-12-27/2022-01-02,40952187.0,41854631.0,9961254.0,0.10042857142857142,4128.142857142857,1456586234.0,847665306.0,608920928.0,,102.78,59.81,42.97,
India,2022-01-03/2022-01-09,52057764.0,61119048.0,26920418.0,0.2712857142857143,5247.571428571428,1517705282.0,886204082.0,631501200.0,,107.09,62.53,44.56,
India,2022-01-10/2022-01-16,58677025.0,52990724.0,30980631.0,0.3124285714285714,5915.0,1570696006.0,910386043.0,656011893.0,4298070.0,110.83,64.24,46.29,0.3
India,2022-01-17/2022-01-23,48638812.0,51514918.0,20047578.0,0.20214285714285715,4903.0,1622210924.0,929971622.0,684436700.0,7802602.0,114.47,65.62,48.3,0.55
India,2022-01-24/2022-01-30,41225562.0,35151226.0,14195214.0,0.14314285714285716,4155.571428571428,1657362150.0,940755706.0,705405482.0,11200962.0,116.95,66.38,49.78,0.79
India,2022-01-31/2022-02-06,41209195.0,38524046.0,11768368.0,0.11857142857142856,4154.142857142857,1695886196.0,951213177.0,730532500.0,14140519.0,119.67,67.12,51.55,1.0
India,2022-02-07/2022-02-13,31428033.0,32025853.0,7477268.0,0.07542857142857143,3168.0,1727912049.0,958033046.0,753481207.0,16397796.0,121.93,67.6,53.17,1.16
India,2022-02-14/2022-02-20,30083638.0,25494737.0,5973525.0,0.06042857142857143,3032.5714285714284,1753406786.0,962616766.0,772901521.0,17888499.0,123.73,67.93,54.54,1.26
India,2022-02-21/2022-02-27,22203416.0,20318029.0,3506375.0,0.03514285714285714,2238.285714285714,1773724815.0,965531308.0,789372639.0,18820868.0,125.16,68.13,55.7,1.33
India,2022-02-28/2022-03-06,16244608.0,14120693.0,2173893.0,0.021857142857142856,1637.5714285714287,1787845508.0,967279389.0,801141086.0,19425033.0,126.16,68.25,56.53,1.37
India,2022-03-07/2022-03-13,13979357.0,12874695.0,1648602.0,0.016714285714285713,1409.142857142857,1800720203.0,968738370.0,811980554.0,20001279.0,127.06,68.36,57.3,1.41
India,2022-03-14/2022-03-20,11944825.0,10664528.0,1894324.0,0.019142857142857145,1204.0,1811384731.0,971428124.0,819491293.0,20465314.0,127.82,68.55,57.83,1.44
India,2022-03-21/2022-03-27,15895410.0,19963010.0,8475527.0,0.08542857142857142,1602.2857142857142,1831347741.0,983190780.0,826884564.0,21272397.0,129.23,69.38,58.35,1.5
India,2022-03-28/2022-04-03,16938734.0,11966223.0,9308995.0,0.09385714285714286,1707.5714285714287,1843313964.0,989520028.0,831824241.0,21969695.0,130.07,69.82,58.7,1.55
India,2022-04-04/2022-04-10,11845013.0,9266631.0,5384953.0,0.054285714285714284,1194.0,1856267473.0,994940223.0,838319304.0,23007946.0,130.98,70.21,59.15,1.62
